Username,Description,PullReq,Ratings
jquense / yup,Dead simple Object schema validation,"11,339",16 stars today
ThisIsBenny / iOS-Widgets,Collection of iOS Widgets,87,20 stars today
pedrorenan / js-expert-week,Repoitório utilizado durante a Semana JS Expert com Erick Wendel,60,10 stars today
ryanhanwu / How-To-Ask-Questions-The-Smart-Way,本文原文由知名 Hacker Eric S. Raymond 所撰寫，教你如何正確的提出技術問題並獲得你滿意的答案。,"12,890",14 stars today
tomer8007 / widevine-l3-decryptor,A Chrome extension that demonstrates bypassing Widevine L3 DRM,619,352 stars this week
jonasschmedtmann / complete-javascript-course,"Starter files, final projects and FAQ for my Complete JavaScript course","5,159",419 stars this week
GitSquared / edex-ui,"A cross-platform, customizable science fiction terminal emulator with advanced monitoring & touchscreen support.","19,015","2,025 stars this week"
jiayiwang5 / TaoBaoScripts,淘宝/支付宝/京东/拼多多，双十一任务脚本，auto.js适用安卓,261,66 stars this week
nodejs / node,Node.js JavaScript runtime ✨🐢🚀✨,"74,370",565 stars this week
lxk0301 / scripts,"京东薅羊毛工具, 京东水果、宠物、种豆等等","1,623",732 stars this week
axios / axios,Promise based HTTP client for the browser and node.js,"78,306",287 stars this week
facebook / react,"A declarative, efficient, and flexible JavaScript library for building user interfaces.","1,58,237",595 stars this week
facebook / create-react-app,Set up a modern web app by running one command.,"83,292",465 stars this week
vercel / next.js,The React Framework,"55,176",593 stars this week
sveltejs / svelte,Cybernetically enhanced web apps,"38,920",736 stars this week
zhaoolee / ChineseBQB,"🇨🇳 Chinese sticker pack,More joy / 表情包的博物馆, Github最有毒的仓库, 中国表情包大集合, 聚欢乐~","8,160",150 stars this week
chavyleung / scripts,none,"1,490",62 stars this week
trekhleb / javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,"83,153",632 stars this week
apache / incubator-echarts,"A powerful, interactive charting and data visualization library for browser","43,400",119 stars this week
taniarascia / webpack-boilerplate,📦 A sensible webpack 5 boilerplate.,906,70 stars this week
qishibo / AnotherRedisDesktopManager,"🚀🚀🚀A faster, better and more stable redis desktop manager, compatible with Linux, windows, mac. What's more, it won't crash when loading a large number of keys.","9,458",178 stars this week
awesome-selfhosted / awesome-selfhosted,A list of Free Software network services and web applications which can be hosted locally. Selfhosting is the process of hosting and managing applications instead of renting from Software-as-a-Service providers,"49,620",236 stars this week
NervJS / taro,开放式跨端跨框架解决方案，支持使用 React/Vue/Nerv 等框架来开发微信/京东/百度/支付宝/字节跳动/ QQ 小程序/H5 等应用。 https://taro.jd.com/,"27,297",115 stars this week
PanJiaChen / vue-admin-template,a vue2.0 minimal admin template,"12,379",77 stars this week
pedroslopez / whatsapp-web.js,A WhatsApp client library for NodeJS that connects through the WhatsApp Web browser app,"1,105",55 stars this week
nondanee / UnblockNeteaseMusic,Revive unavailable songs for Netease Cloud Music,"11,982",89 stars this week
cruip / tailwind-landing-page-template,Simple Light is a free landing page template built on top of TailwindCSS and fully coded in React. Made by,284,116 stars this week
h5bp / html5-boilerplate,"A professional front-end template for building fast, robust, and adaptable web apps or sites.","47,690",262 stars this week
myliang / x-spreadsheet,A web-based JavaScript（canvas） spreadsheet,"10,188",52 stars this week
mengshukeji / Luckysheet,"Luckysheet is an online spreadsheet like excel that is powerful, simple to configure, and completely open source.","5,423","3,410 stars this month"
lxk0301 / scripts,"京东薅羊毛工具, 京东水果、宠物、种豆等等","1,624","1,288 stars this month"
30-seconds / 30-seconds-of-code,Short JavaScript code snippets for all your development needs,"64,867","2,717 stars this month"
jonasschmedtmann / complete-javascript-course,"Starter files, final projects and FAQ for my Complete JavaScript course","5,159",579 stars this month
GitSquared / edex-ui,"A cross-platform, customizable science fiction terminal emulator with advanced monitoring & touchscreen support.","19,015","2,627 stars this month"
odoo / odoo,Odoo. Open Source Apps To Grow Your Business.,"19,223",417 stars this month
TheAlgorithms / Javascript,A repository for All algorithms implemented in Javascript (for educational purposes only),"6,925","1,603 stars this month"
freeCodeCamp / freeCodeCamp,freeCodeCamp.org's open source codebase and curriculum. Learn to code at home.,"3,16,235","1,571 stars this month"
vercel / next.js,The React Framework,"55,176","1,575 stars this month"
tobspr / shapez.io,shapez.io is an open source base building game inspired by factorio! Available on web & desktop,"2,866",760 stars this month
axios / axios,Promise based HTTP client for the browser and node.js,"78,306","1,030 stars this month"
chartjs / Chart.js,Simple HTML5 Charts using the <canvas> tag,"50,786",418 stars this month
remoteintech / remote-jobs,A list of semi to fully remote-friendly companies in tech.,"15,680","2,571 stars this month"
gorhill / uBlock,uBlock Origin - An efficient blocker for Chromium and Firefox. Fast and lean.,"22,411",606 stars this month
checkly / headless-recorder,Headless recorder is a Chrome extension that records your browser interactions and generates a Puppeteer or Playwright script.,"12,157","2,445 stars this month"
reactjs / reactjs.org,The React documentation website,"5,114",181 stars this month
pedroslopez / whatsapp-web.js,A WhatsApp client library for NodeJS that connects through the WhatsApp Web browser app,"1,105",185 stars this month
sveltejs / svelte,Cybernetically enhanced web apps,"38,920","1,696 stars this month"
bkimminich / juice-shop,OWASP Juice Shop: Probably the most modern and sophisticated insecure web application,"3,908",151 stars this month
karlhadwen / netflix,Subscribe to my YouTube channel: https://bit.ly/CognitiveSurge - Building Netflix Using React,695,397 stars this month
gatsbyjs / gatsby,"Build blazing fast, modern apps and websites with React","47,627",634 stars this month
h5bp / html5-boilerplate,"A professional front-end template for building fast, robust, and adaptable web apps or sites.","47,690",909 stars this month
hakimel / reveal.js,The HTML Presentation Framework,"53,506",351 stars this month
strapi / strapi,🚀 Open source Node.js Headless CMS to easily build customisable APIs,"30,523","1,184 stars this month"
discordjs / discord.js,A powerful JavaScript library for interacting with the Discord API,"7,845",813 stars this month
MrS0m30n3 / youtube-dl-gui,A cross platform front-end GUI of the popular youtube-dl written in wxPython.,"5,414",159 stars today
lrvick / youtube-dl,RIAA: Please go die in a fire.,383,196 stars today
donnemartin / system-design-primer,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.,"1,10,294",103 stars today
l1ving / youtube-dl,A copyright-respecting fork of youtube-dl,"1,168",184 stars today
youtube-dl2 / youtube-dl,Repository with the code of youtube-dl,410,76 stars today
alexa / bort,"Repository for the paper ""Optimal Subarchitecture Extraction for BERT""",201,50 stars today
EssayKillerBrain / EssayKiller_V2,基于开源GPT2.0的初代创作型人工智能 | 可扩展、可进化,"1,109",118 stars today
python / cpython,The Python programming language,"34,225",24 stars today
corkami / mitra,A generator of binary polyglots,337,53 stars today
chubin / cheat.sh,the only cheat sheet you need,"19,569",21 stars today
sherlock-project / sherlock,🔎 Hunt down social media accounts by username across social networks,"16,486",236 stars today
lucidrains / performer-pytorch,"An implementation of Performer, a linear attention-based transformer, in Pytorch",129,21 stars today
ytisf / theZoo,A repository of LIVE malwares for your own joy and pleasure. theZoo is a project created to make the possibility of malware analysis open and available to the public.,"6,312",4 stars today
soimort / you-get,⏬ Dumb downloader that scrapes the web,"36,040",186 stars today
confluentinc / confluent-kafka-python,Confluent's Kafka Python Client,"2,000",5 stars today
awslabs / aws-serverless-data-lake-framework,"Enterprise-grade, production-hardened, serverless data lake on AWS",70,21 stars today
teja156 / microsoft-teams-class-attender,A bot to attend classes on microsoft teams,22,6 stars today
numpy / numpy,The fundamental package for scientific computing with Python.,"15,238",10 stars today
google-research / multilingual-t5,none,314,70 stars today
microsoft / playwright-python,Python version of the Playwright testing and automation library.,"1,230",45 stars today
PostHog / posthog,"🦔 PostHog is developer-friendly, open-source product analytics.","3,334",6 stars today
man-group / dtale,Visualizer for pandas data structures,"1,572",39 stars today
scastillo / not-youtube-dl,This is not youtube-dl,728,118 stars today
nficano / pytube,"A lightweight, dependency-free Python library (and command-line utility) for downloading YouTube Videos.","3,564",4 stars today
kyb3r / modmail,A feature rich discord Modmail bot,793,5 stars today
sherlock-project / sherlock,🔎 Hunt down social media accounts by username across social networks,"16,486","1,351 stars this week"
soimort / you-get,⏬ Dumb downloader that scrapes the web,"36,040",608 stars this week
kangvcar / InfoSpider,INFO-SPIDER 是一个集众多数据源于一身的爬虫工具箱🧰，旨在安全快捷的帮助用户拿回自己的数据，工具代码开源，流程透明。支持数据源包括GitHub、QQ邮箱、网易邮箱、阿里邮箱、新浪邮箱、Hotmail邮箱、Outlook邮箱、京东、淘宝、支付宝、中国移动、中国联通、中国电信、知乎、哔哩哔哩、网易云音乐、QQ好友、QQ群、生成朋友圈相册、浏览器浏览历史、12306、博客园、CSDN博客、开源中国博客、简书。,"2,817",244 stars this week
pytorch / fairseq,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.,"10,060",430 stars this week
aristocratos / bpytop,Linux/OSX/FreeBSD resource monitor,"3,615",226 stars this week
wangzheng0822 / algo,数据结构和算法必知必会的50个代码实现,"16,883",90 stars this week
s0md3v / Photon,Incredibly fast crawler designed for OSINT.,"7,078",96 stars this week
EssayKillerBrain / EssayKiller_V2,基于开源GPT2.0的初代创作型人工智能 | 可扩展、可进化,"1,109",496 stars this week
adamerose / pandasgui,A GUI for Pandas DataFrames,"1,458",598 stars this week
satwikkansal / wtfpython,What the f*ck Python?,"22,502",548 stars this week
rwightman / pytorch-image-models,"PyTorch image models, scripts, pretrained weights -- (SE)ResNet/ResNeXT, DPN, EfficientNet, MixNet, MobileNet-V3/V2, MNASNet, Single-Path NAS, FBNet, and more","5,258",283 stars this week
Gr1mmie / Practical-Ethical-Hacking-Resources,Compilation of Resources from TCM's Practical Ethical Hacking Udemy Course,916,100 stars this week
PyTorchLightning / pytorch-lightning,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.","9,569",569 stars this week
alexandreborges / malwoverview,"Malwoverview is a first response tool used for downloading and screening malware samples, suspicious URLs, IP address, domains. Malwoverview offers threat hunting information from Virus Total, Hybrid Analysis, URLHaus, Polyswarm, Malshare, Alien Vault, Malpedia, ThreatCrowd, Valhalla and it is able to scan Android devices against VT and HA.","1,107",100 stars this week
s0md3v / XSStrike,Most advanced XSS scanner.,"8,539",64 stars this week
3b1b / manim,Animation engine for explanatory math videos,"26,644",485 stars this week
iperov / DeepFaceLab,DeepFaceLab is the leading software for creating deepfakes.,"20,770",387 stars this week
lucidrains / lambda-networks,"Implementation of LambdaNetworks, a new approach to image recognition that reaches SOTA with less compute",964,262 stars this week
apache / airflow,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows","18,725",116 stars this week
xiaoming2028 / FreePAC,科学上网/梯子/自由上网/翻墙 SS/SSR/V2Ray/Brook 搭建教程 免费机场、VPN工具,"3,386",42 stars this week
ansible / ansible,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.","45,430",258 stars this week
ultralytics / yolov5,YOLOv5 in PyTorch > ONNX > CoreML > TFLite,"5,761",165 stars this week
tiangolo / fastapi,"FastAPI framework, high performance, easy to learn, fast to code, ready for production","22,509",293 stars this week
nficano / pytube,"A lightweight, dependency-free Python library (and command-line utility) for downloading YouTube Videos.","3,564",28 stars this week
PySimpleGUI / PySimpleGUI,"Launched in 2018 Actively developed and supported. Supports tkinter, Qt, WxPython, Remi (in browser). Create custom layout GUI's simply. Python 2.7 & 3 Support. 200+ Demo programs & Cookbook for rapid start. Extensive documentation. Examples using Machine Learning(GUI, OpenCV Integration, Chatterbot), Floating Desktop Widgets, Matplotlib + Pyplo…","4,731",82 stars this week
TheAlgorithms / Python,All Algorithms implemented in Python,"90,553","4,737 stars this month"
home-assistant / core,🏡 Open source home automation that puts local control and privacy first,"36,789","1,120 stars this month"
google-research / football,Check out the new game server:,"2,457",207 stars this month
PyTorchLightning / pytorch-lightning,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.","9,569","1,041 stars this month"
soimort / you-get,⏬ Dumb downloader that scrapes the web,"36,040",982 stars this month
apprenticeharper / DeDRM_tools,DeDRM tools for ebooks,"8,759",413 stars this month
microsoft / Bringing-Old-Photos-Back-to-Life,Bringing Old Photo Back to Life (CVPR 2020 oral),"1,513",769 stars this month
CorentinJ / Real-Time-Voice-Cloning,Clone a voice in 5 seconds to generate arbitrary speech in real-time,"21,166","1,626 stars this month"
pytorch / fairseq,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.,"10,060","1,037 stars this month"
matplotlib / matplotlib,matplotlib: plotting with Python,"12,497",289 stars this month
facebookresearch / frankmocap,A Strong and Easy-to-use Single View 3D Hand+Body Pose Estimator,648,306 stars this month
geerlingguy / ansible-for-devops,Ansible for DevOps examples.,"3,882",470 stars this month
ct-Open-Source / tuya-convert,A collection of scripts to flash Tuya IoT devices to alternative firmwares,"2,204",133 stars this month
sherlock-project / sherlock,🔎 Hunt down social media accounts by username across social networks,"16,486","1,667 stars this month"
python-poetry / poetry,Python dependency management and packaging made easy.,"12,670",381 stars this month
willmcgugan / rich,Rich is a Python library for rich text and beautiful formatting in the terminal.,"13,398",861 stars this month
nvbn / thefuck,Magnificent app which corrects your previous console command.,"56,822","1,227 stars this month"
huggingface / transformers,🤗Transformers: State-of-the-art Natural Language Processing for Pytorch and TensorFlow 2.0.,"35,815","1,600 stars this month"
eriklindernoren / ML-From-Scratch,Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning.,"18,297","1,512 stars this month"
malwaredllc / byob,"An open-source post-exploitation framework for students, researchers and developers.","5,404",424 stars this month
Asabeneh / 30-Days-Of-Python,30 days of Python programming challenge is a step by step guide to learn Python programming language in 30 days.,"2,305","1,152 stars this month"
dabeaz-course / practical-python,Practical Python Programming (course by @dabeaz),"6,589","1,195 stars this month"
apachecn / AiLearning,AiLearning: 机器学习 - MachineLearning - ML、深度学习 - DeepLearning - DL、自然语言处理 NLP,"27,631",575 stars this month
NVlabs / imaginaire,NVIDIA PyTorch GAN library with distributed and mixed precision support,"1,605","1,402 stars this month"
Gr1mmie / Practical-Ethical-Hacking-Resources,Compilation of Resources from TCM's Practical Ethical Hacking Udemy Course,916,221 stars this month
CocoaPods / CocoaPods,The Cocoa Dependency Manager.,"12,777",3 stars today
fastlane / fastlane,🚀 The easiest way to automate building and releasing your iOS and Android apps,"30,019",6 stars today
github / scientist,🔬 A Ruby library for carefully refactoring critical paths.,"5,755",10 stars today
dependabot / dependabot-core,"🤖 The core logic behind Dependabot's update PR creation, and the public issue tracker for all things Dependabot","1,469",4 stars today
opf / openproject,OpenProject is the leading open source project management software.,"4,300",3 stars today
heartcombo / devise,Flexible authentication solution for Rails with Warden.,"21,188",2 stars today
github-changelog-generator / github-changelog-generator,"Automatically generate change log from your tags, issues, labels and pull requests on GitHub.","6,179",3 stars today
luggit / react-native-config,Bring some 12 factor love to your mobile apps!,"3,340",6 stars today
rswag / rswag,Seamlessly adds a Swagger to Rails-based API's,872,2 stars today
thoughtbot / factory_bot,A library for setting up Ruby objects as test data.,"7,012",4 stars today
ankane / strong_migrations,Catch unsafe migrations in development,"2,246",2 stars today
sonic-pi-net / sonic-pi,Code. Music. Live.,"6,198",4 stars today
discourse / discourse,"A platform for community discussion. Free, open, simple.","31,778",9 stars today
ruby / ruby,The Ruby Programming Language [mirror],"17,452",6 stars today
decidim / decidim,The participatory democracy framework. A generator and multiple gems made with Ruby on Rails,793,0 stars today
pivotal / LicenseFinder,Find licenses for your project's dependencies.,"1,109",2 stars today
solidusio / solidus,"🛒Solidus, Rails eCommerce System","3,330",4 stars today
sinatra / sinatra,Classy web-development dressed in a DSL (official / canonical repo),"11,107",1 stars today
thoughtbot / administrate,A Rails engine that helps you put together a super-flexible admin dashboard.,"4,917",3 stars today
kilimchoi / engineering-blogs,A curated list of engineering blogs,"17,464",14 stars today
Shopify / packwerk,Good things come in small packages.,381,5 stars today
alexeygrigorev / data-science-interviews,Data science interview questions and answers,"3,546",5 stars today
thoughtbot / paperclip,Easy file attachment management for ActiveRecord,"9,066",0 stars today
thoughtbot / shoulda-matchers,Simple one-liner tests for common Rails functionality,"2,935",0 stars today
shrinerb / shrine,File Attachment toolkit for Ruby applications,"2,720",2 stars today
rubocop-hq / rubocop,"A Ruby static code analyzer and formatter, based on the community Ruby style guide.","11,125",29 stars this week
faker-ruby / faker,"A library for generating fake data such as names, addresses, and phone numbers.","8,944",14 stars this week
rails / rails,Ruby on Rails,"46,759",57 stars this week
solidusio / solidus,"🛒Solidus, Rails eCommerce System","3,330",19 stars this week
tootsuite / mastodon,"Your self-hosted, globally interconnected microblogging community","22,137",72 stars this week
spree / spree,"Spree is an open source E-commerce platform for Rails 6 with a modern UX, optional PWA frontend, REST API, GraphQL, several official extensions and 3rd party integrations. Over 1 million downloads and counting! Check it out:","10,735",23 stars this week
rails / webpacker,Use Webpack to manage app-like JavaScript modules in Rails,"4,915",11 stars this week
rapid7 / metasploit-framework,Metasploit Framework,"21,936",83 stars this week
jsonapi-serializer / jsonapi-serializer,A fast JSON:API serializer for Ruby (fork of Netflix/fast_jsonapi),470,18 stars this week
heartcombo / devise,Flexible authentication solution for Rails with Warden.,"21,188",19 stars this week
github / linguist,"Language Savant. If your repository's language is being reported incorrectly, send us a pull request!","8,155",28 stars this week
chatwoot / chatwoot,"Open-source live chat software, an alternative to Intercom, Zendesk, Drift, Crisp etc. 🔥💬","4,742",31 stars this week
fastlane / fastlane,🚀 The easiest way to automate building and releasing your iOS and Android apps,"30,019",54 stars this week
jekyll / jekyll,🌐 Jekyll is a blog-aware static site generator in Ruby,"41,507",62 stars this week
discourse / discourse,"A platform for community discussion. Free, open, simple.","31,778",42 stars this week
decidim / decidim,The participatory democracy framework. A generator and multiple gems made with Ruby on Rails,793,6 stars this week
Homebrew / brew,🍺 The missing package manager for macOS (or Linux),"23,465",93 stars this week
activeadmin / activeadmin,The administration framework for Ruby on Rails applications.,"8,849",4 stars this week
mame / quine-relay,An uroboros program with 100+ programming languages,"9,641",40 stars this week
github / scientist,🔬 A Ruby library for carefully refactoring critical paths.,"5,755",17 stars this week
mperham / sidekiq,"Simple, efficient background processing for Ruby","10,623",13 stars this week
elastic / logstash,"Logstash - transport and process your logs, events, or other data","11,736",25 stars this week
hashicorp / vault-rails,A Rails plugin for easily integrating Vault secrets,296,0 stars this week
learn-co-curriculum / sinatra-from-scratch-readme,none,4,0 stars this week
thoughtbot / factory_bot,A library for setting up Ruby objects as test data.,"7,012",10 stars this week
tootsuite / mastodon,"Your self-hosted, globally interconnected microblogging community","22,137",273 stars this month
opf / openproject,OpenProject is the leading open source project management software.,"4,300",187 stars this month
freeCodeCamp / how-to-contribute-to-open-source,A guide to contributing to open source,"4,217",225 stars this month
forem / forem,For empowering community 🌱,"15,349",447 stars this month
puma / puma,A Ruby/Rack web server built for concurrency,"6,550",261 stars this month
Homebrew / brew,🍺 The missing package manager for macOS (or Linux),"23,465",385 stars this month
rapid7 / metasploit-framework,Metasploit Framework,"21,936",320 stars this month
github / view_component,"A framework for building reusable, testable & encapsulated view components in Ruby on Rails.","1,264",157 stars this month
huginn / huginn,Create agents that monitor and act on your behalf. Your agents are standing by!,"29,877",334 stars this month
rubocop-hq / rubocop,"A Ruby static code analyzer and formatter, based on the community Ruby style guide.","11,125",88 stars this month
digitalocean / hacktoberfest,Hacktoberfest - App to manage the annual open source challenge.,498,403 stars this month
crweiner / hacktoberfest-swag-list,"Multiple companies give out swag for Hacktoberfest, and this repo tries to list them all.","1,201",628 stars this month
redmine / redmine,Mirror of redmine code source - Official SVN repository is at https://svn.redmine.org/redmine - contact: @jbbarth or jeanbaptiste.barth (at) gmail (dot) com,"3,889",37 stars this month
rails / rails,Ruby on Rails,"46,759",259 stars this month
discourse / discourse,"A platform for community discussion. Free, open, simple.","31,778",229 stars this month
faker-ruby / faker,"A library for generating fake data such as names, addresses, and phone numbers.","8,944",58 stars this month
github / choosealicense.com,A site to provide non-judgmental guidance on choosing a license for your open source project,"2,135",58 stars this month
CocoaPods / CocoaPods,The Cocoa Dependency Manager.,"12,777",77 stars this month
Homebrew / homebrew-core,🍻 Default formulae for the missing package manager for macOS,"8,209",138 stars this month
postalhq / postal,📨 A fully featured open source mail delivery platform for incoming & outgoing e-mail,"10,067",95 stars this month
elastic / logstash,"Logstash - transport and process your logs, events, or other data","11,736",82 stars this month
Homebrew / homebrew-cask-versions,🔢 Alternate versions of Casks,854,15 stars this month
solidusio / solidus,"🛒Solidus, Rails eCommerce System","3,330",45 stars this month
rubyforgood / casa,"Volunteer management system for nonprofit CASA, which serves foster youth in counties across America.",65,29 stars this month
github / explore,Community-curated topic and collection pages on GitHub,"1,927",64 stars this month
spotify / scio,A Scala API for Apache Beam and Google Cloud Dataflow.,"2,011",1 stars today
yahoo / CMAK,CMAK is a tool for managing Apache Kafka clusters,"9,493",6 stars today
apache / spark,Apache Spark - A unified analytics engine for large-scale data processing,"27,917",13 stars today
chipsalliance / rocket-chip,Rocket Chip Generator,"1,602",0 stars today
polynote / polynote,A better notebook for Scala (and more),"4,010",2 stars today
xxf098 / shadowsocksr-v2ray-trojan-android,"A ShadowsocksR, V2Ray and Trojan client for Android",859,6 stars today
typelevel / cats,"Lightweight, modular, and extensible library for functional programming.","4,086",2 stars today
freechipsproject / chisel3,Chisel 3: A Modern Hardware Design Language,"1,523",1 stars today
zio / zio,"ZIO — A type-safe, composable library for async and concurrent programming in Scala","2,535",3 stars today
delta-io / delta,"An open-source storage layer that brings scalable, ACID transactions to Apache Spark™ and big data workloads.","2,842",2 stars today
awslabs / deequ,"Deequ is a library built on top of Apache Spark for defining ""unit tests for data"", which measure data quality in large datasets.","1,289",2 stars today
scala / scala,"Scala 2 compiler and standard library. For bugs, see scala/bug","12,974",5 stars today
playframework / playframework,Play Framework,"11,722",1 stars today
apache / openwhisk,Apache OpenWhisk is an open source serverless cloud platform,"4,964",2 stars today
sifive / fpga-shells,none,80,0 stars today
sifive / sifive-blocks,Common RTL blocks used in SiFive's projects,123,0 stars today
databricks / Spark-The-Definitive-Guide,Spark: The Definitive Guide's Code Repository,"1,657",5 stars today
sifive / block-inclusivecache-sifive,none,31,0 stars today
JohnSnowLabs / spark-nlp,State of the Art Natural Language Processing,"1,660",1 stars today
sifive / soc-freedom-sifive,e300 and u500 devkits,7,0 stars today
sifive / soc-testsocket-sifive,A simple SoC for testing IP blocks,8,0 stars today
lampepfl / dotty,Research compiler that will become Scala 3,"4,148",2 stars today
firesim / icenet,"Network components (NIC, Switch) for FireBox",4,0 stars today
ucb-bar / riscv-torture,RISC-V Torture Test,52,0 stars today
WeBankFinTech / Linkis,"Linkis helps easily connect to various back-end computation/storage engines(Spark, Python, TiDB...), exposes various interfaces(REST, JDBC, Java ...), with multi-tenancy, high performance, and resource control.","1,590",63 stars this week
freechipsproject / chisel3,Chisel 3: A Modern Hardware Design Language,"1,523",7 stars this week
apache / spark,Apache Spark - A unified analytics engine for large-scale data processing,"27,917",62 stars this week
spotify / scio,A Scala API for Apache Beam and Google Cloud Dataflow.,"2,011",9 stars this week
xxf098 / shadowsocksr-v2ray-trojan-android,"A ShadowsocksR, V2Ray and Trojan client for Android",859,25 stars this week
chipsalliance / rocket-chip,Rocket Chip Generator,"1,602",9 stars this week
lampepfl / dotty,Research compiler that will become Scala 3,"4,148",14 stars this week
zio / zio,"ZIO — A type-safe, composable library for async and concurrent programming in Scala","2,535",10 stars this week
typelevel / cats,"Lightweight, modular, and extensible library for functional programming.","4,086",10 stars this week
twitter / finagle,"A fault tolerant, protocol-agnostic RPC system","7,762",8 stars this week
Dan-M / dumbsterweb,"A Lift web app wrapping Dumbster, the fake Smtp Server",2,1 stars this week
sifive / soc-testsocket-sifive,A simple SoC for testing IP blocks,8,0 stars this week
sifive / soc-freedom-sifive,e300 and u500 devkits,7,0 stars this week
sifive / block-inclusivecache-sifive,none,31,0 stars this week
sifive / sifive-blocks,Common RTL blocks used in SiFive's projects,123,0 stars this week
sifive / fpga-shells,none,80,0 stars this week
ucb-bar / berkeley-hardfloat,none,119,1 stars this week
ucb-bar / riscv-torture,RISC-V Torture Test,52,1 stars this week
chipsalliance / api-config-chipsalliance,A Scala library for Context-Dependent Evironments,7,0 stars this week
freechipsproject / firrtl,Flexible Intermediate Representation for RTL,351,2 stars this week
lorenjerickson / cqrs-scala,scala implementation of simple CQRS example by Greg Young,2,0 stars this week
apache / spark,Apache Spark - A unified analytics engine for large-scale data processing,"27,917",381 stars this month
WeBankFinTech / Linkis,"Linkis helps easily connect to various back-end computation/storage engines(Spark, Python, TiDB...), exposes various interfaces(REST, JDBC, Java ...), with multi-tenancy, high performance, and resource control.","1,590",103 stars this month
akka / akka,"Build highly concurrent, distributed, and resilient message-driven applications on the JVM","11,172",64 stars this month
chipsalliance / rocket-chip,Rocket Chip Generator,"1,602",29 stars this month
scala / scala,"Scala 2 compiler and standard library. For bugs, see scala/bug","12,974",82 stars this month
delta-io / delta,"An open-source storage layer that brings scalable, ACID transactions to Apache Spark™ and big data workloads.","2,842",73 stars this month
xxf098 / shadowsocksr-v2ray-trojan-android,"A ShadowsocksR, V2Ray and Trojan client for Android",859,79 stars this month
rtyley / bfg-repo-cleaner,"Removes large or troublesome blobs like git-filter-branch does, but faster. And written in Scala","6,959",103 stars this month
twitter / finagle,"A fault tolerant, protocol-agnostic RPC system","7,762",37 stars this month
databricks / LearningSparkV2,This is the github repo for Learning Spark: Lightning-Fast Data Analytics [2nd Edition],146,33 stars this month
ornicar / lila,"♞ lichess.org: the forever free, adless and open source chess server ♞","7,448",117 stars this month
tpolecat / doobie,Functional JDBC layer for Scala.,"1,737",12 stars this month
lampepfl / dotty,Research compiler that will become Scala 3,"4,148",46 stars this month
gitbucket / gitbucket,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility","8,191",36 stars this month
http4s / http4s,"A minimal, idiomatic Scala interface for HTTP","1,903",12 stars this month
spotify / scio,A Scala API for Apache Beam and Google Cloud Dataflow.,"2,011",35 stars this month
Dan-M / dumbsterweb,"A Lift web app wrapping Dumbster, the fake Smtp Server",2,1 stars this month
sifive / block-inclusivecache-sifive,none,31,0 stars this month
sifive / soc-testsocket-sifive,A simple SoC for testing IP blocks,8,0 stars this month
sifive / soc-freedom-sifive,e300 and u500 devkits,7,0 stars this month
sifive / fpga-shells,none,80,1 stars this month
sifive / sifive-blocks,Common RTL blocks used in SiFive's projects,123,0 stars this month
